time_stamp,daily_mean_25pm,daily_sensor_count
2020-10-13,3.55,45
2020-10-14,4.1,46
2020-10-15,1.45,43
2020-10-16,1.05,41
2020-10-17,1.03,39
2020-10-18,3.26,45
2020-10-19,3.57,46
2020-10-20,8.35,50
2020-10-21,2.29,46
2020-10-22,1.62,45
2020-10-23,2.96,46
2020-10-24,3.8,48
2020-10-25,3.28,47
2020-10-26,6.72,49
2020-10-27,2.57,47
2020-10-28,6.05,49
2020-10-29,3.13,44
2020-10-30,4.97,45
2020-10-31,3.42,49
2020-11-01,2.62,47
2020-11-02,7.81,49
2020-11-03,3.91,49
2020-11-04,2.41,48
2020-11-05,3.58,50
2020-11-06,3.08,48
2020-11-07,1.07,45
2020-11-08,1.13,45
2020-11-09,3.09,46
2020-11-10,4.27,47
2020-11-11,1.91,44
2020-11-12,4.58,45
2020-11-13,2.57,48
2020-11-14,1.32,44
2020-11-15,1.38,41
2020-11-16,4.46,45
2020-11-17,3.71,50
2020-11-18,2.74,46
2020-11-19,1.31,42
2020-11-20,4.37,45
2020-11-21,3.48,45
2020-11-22,3.98,45
2020-11-23,2.51,48
2020-11-24,4.0,45
2020-11-25,3.98,46
2020-11-26,1.75,43
2020-11-27,1.31,44
2020-11-28,3.37,47
2020-11-29,3.33,45
2020-11-30,2.62,45
2020-12-01,2.42,45
2020-12-02,2.48,46
2020-12-03,3.74,47
2020-12-04,5.55,47
2020-12-05,3.11,48
2020-12-06,2.21,46
2020-12-07,1.78,48
2020-12-08,1.65,46
2020-12-09,2.77,48
2020-12-10,2.75,48
2020-12-11,1.87,48
2020-12-12,1.12,44
2020-12-13,2.22,45
2020-12-14,1.2,43
2020-12-15,5.99,49
2020-12-16,5.89,49
2020-12-17,1.68,47
2020-12-18,3.09,48
2020-12-19,5.24,50
2020-12-20,4.81,49
2020-12-21,5.36,49
