sensor_index,date_created,last_seen,latitude,longitude
141304,2021-12-21 01:54:45,2024-02-01 21:16:44,39.135845,-120.15906
142970,2022-01-19 23:16:53,2024-02-01 21:18:09,39.242313,-120.02513
143004,2022-01-20 00:02:28,2024-02-01 21:15:36,39.239723,-119.9327
143592,2022-01-26 23:36:00,2023-11-08 19:49:15,39.246784,-120.06734
143854,2022-01-31 21:57:21,2024-02-01 21:18:29,39.13324,-120.15839
150708,2022-06-22 23:09:20,2022-09-28 15:47:04,38.9832,-119.95552
151682,2022-06-29 00:24:57,2022-10-03 16:07:49,39.191753,-120.11023
152062,2022-06-30 23:53:17,2024-02-01 21:17:16,39.057613,-120.13738
152066,2022-06-30 23:53:26,2024-02-01 21:18:15,39.255913,-119.96194
152978,2022-07-06 23:12:02,2024-02-01 21:17:28,39.236374,-119.93112
153018,2022-07-07 09:54:02,2024-02-01 21:16:59,39.195217,-120.1136
154289,2022-07-12 23:14:50,2022-10-01 22:45:57,39.23973,-119.93269
154331,2022-07-13 20:05:41,2023-11-18 18:44:52,39.0345,-119.95021
154511,2022-07-13 21:28:12,2022-10-02 19:48:00,39.18573,-120.09937
154599,2022-07-13 21:59:56,2024-02-01 20:07:06,39.25679,-119.95461
154695,2022-07-13 22:33:42,2023-10-31 16:21:14,39.255466,-119.940384
154755,2022-07-14 19:06:50,2024-01-30 04:43:39,39.255817,-119.96566
154753,2022-07-14 19:06:46,2023-08-14 03:38:14,39.255886,-119.96551
154763,2022-07-14 21:45:07,2024-02-01 21:17:24,39.269512,-119.94669
154773,2022-07-14 21:50:50,2024-02-01 21:16:44,39.169464,-120.14328
154787,2022-07-14 21:56:38,2023-06-10 22:31:06,39.126034,-120.16172
155163,2022-07-15 22:16:30,2024-02-01 21:17:28,38.975174,-119.93157
155369,2022-07-18 21:38:57,2022-07-19 21:58:37,39.02164,-119.94838
157471,2022-08-01 18:38:39,2024-02-01 21:17:10,38.925262,-119.97053
157469,2022-08-01 18:38:36,2024-02-01 21:16:54,38.92676,-119.972565
157473,2022-08-01 18:38:41,2024-02-01 21:18:27,38.925327,-119.969795
162661,2022-09-14 19:55:48,2024-02-01 21:18:18,39.24637,-119.96349
162723,2022-09-14 22:24:13,2024-01-07 03:20:11,39.250282,-119.969
162731,2022-09-14 22:24:19,2024-02-01 21:17:08,38.96592,-119.93042
162735,2022-09-14 22:24:21,2024-02-01 21:16:37,39.186874,-120.10063
162765,2022-09-14 22:26:39,2023-02-06 01:49:21,39.25268,-119.984245
162781,2022-09-14 22:26:55,2024-02-01 21:17:05,39.1009,-119.943214
162921,2022-09-15 22:22:04,2022-09-16 21:08:19,38.94149,-119.95709
163305,2022-09-16 17:29:29,2023-02-22 17:18:06,39.258713,-119.961555
163653,2022-09-20 18:34:54,2024-02-01 21:15:36,38.972275,-119.92154
163797,2022-09-20 19:36:34,2022-10-20 14:42:20,39.12612,-120.16199
164037,2022-09-21 19:20:45,2023-04-24 17:12:19,39.25173,-119.92679
164187,2022-09-22 20:24:41,2024-02-01 21:17:55,39.20994,-120.0976
164883,2022-09-28 17:30:55,2022-10-02 20:14:13,39.195858,-119.9289
172095,2022-11-29 19:01:44,2024-02-01 21:18:02,39.25065,-120.04106
178563,2023-04-06 15:06:40,2023-05-13 00:23:11,38.937996,-120.00816
178561,2023-04-06 15:06:33,2023-05-12 19:33:09,38.93762,-120.00854
198321,2023-10-09 15:59:21,2024-02-01 21:18:02,39.25974,-119.97986
199061,2023-10-16 14:17:23,2024-02-01 21:17:33,39.21886,-120.09429
